Temperature;Pressure;Altitude;AccX;AccY;AccZ
28.20;96639;397.83;3756;3240;14800
28.20;96643;397.49;2344;-456;18500
28.20;96664;395.75;1716;-1372;17088
28.20;96683;394.02;2396;-816;11900
28.20;96681;393.08;5028;-384;14316
28.20;96700;391.60;6392;4576;13876
28.20;96716;390.83;3740;4440;16252
28.20;96740;388.92;3868;3928;16312
28.20;96753;388.15;468;4336;15908
28.20;96763;386.68;3644;3216;15524
28.20;96788;385.12;-1148;3308;23168
28.20;96799;383.22;4732;56;15120
28.20;96823;381.67;4844;-2664;14144
28.20;96827;381.32;5264;128;14876
28.20;96832;379.94;7608;420;13720
28.20;96848;380.28;7408;-1336;15584
28.20;96849;379.68;4976;-816;14744
28.20;96848;379.51;2464;-576;15204
28.20;96845;379.25;3208;984;15776
28.20;96849;379.85;1584;-392;15168
28.30;96848;379.68;1280;328;15404
28.20;96850;378.56;1572;-168;15756
28.30;96867;378.30;3024;-3368;15032
28.30;96873;376.92;5996;-5544;15220
28.30;96888;376.57;4272;-3536;16300
28.30;96904;375.10;5432;-1368;14744
28.30;96916;374.41;4148;2112;13188
28.30;96913;374.67;4628;3776;16768
28.30;96912;373.81;5856;-1452;14816
28.30;96920;373.03;5524;-2072;15084
28.30;96918;373.64;3840;-2236;15592
28.30;96923;374.15;1484;-1864;14392
28.30;96912;373.64;-376;-4328;15976
28.30;96914;373.55;-572;-3160;16816
28.30;96927;373.55;388;-1936;16344
28.30;96912;374.24;-1580;-1772;14772
28.30;96904;374.76;-1268;-628;15988
28.30;96901;375.54;-92;-448;14240
28.30;96891;376.14;-1792;-1136;14500
28.30;96881;376.40;-2168;-1152;14428
28.30;96873;377.87;-1952;900;15860
28.30;96857;378.21;-540;-1380;17352
28.30;96847;378.90;-1660;688;15004
28.30;96843;379.85;364;-700;14764
28.30;96828;381.24;2796;952;17188
28.40;96817;382.18;848;-1024;13532
28.40;96818;382.53;1408;-772;14640
28.40;96803;383.74;2984;-1128;16164
28.40;96796;384.00;1992;1952;18260
28.40;96793;384.95;2000;-2236;17740
28.40;96775;385.99;-224;812;15348
28.40;96767;386.24;-3340;488;13804
28.40;96757;387.20;-1676;596;15232
28.40;96747;388.41;-3928;-1808;16048
28.40;96733;389.70;700;20;15644
28.40;96727;389.96;-2780;164;18240
28.40;96709;391.60;-2148;-576;15540
28.40;96704;391.86;-2508;-2036;15876
28.40;96697;392.99;-3484;-1076;18484
28.40;96687;393.51;-704;1484;13360
28.40;96691;393.59;760;3396;11716
28.40;96682;394.20;-284;768;17300
28.40;96669;394.72;-928;424;19548
28.40;96650;397.23;-4448;-1736;22432
28.40;96646;396.88;80;1328;13072
28.40;96652;396.71;1816;-1404;13032
28.40;96655;396.62;628;-1900;14120
28.40;96664;395.84;3724;-1656;15736
28.40;96666;395.75;6988;140;21064
28.40;96671;394.46;6164;1732;13560
28.40;96682;393.68;1976;1476;14008
28.40;96681;393.85;2636;1996;12568
28.40;96695;393.33;1600;1080;17104
28.40;96705;391.69;1096;2696;14832
28.40;96716;390.74;2364;340;13368
28.40;96731;388.92;2572;-1984;17672
28.40;96754;387.97;1292;752;12544
28.50;96789;385.73;5152;-3680;12852
28.40;96808;382.79;5512;832;10432
28.50;96838;379.94;6024;-424;14196
28.40;96861;377.87;7356;-1104;11908
28.50;96877;377.00;4024;-4192;15420
28.50;96899;375.71;3080;-7216;19620
28.50;96918;373.98;4660;-6032;14972
28.50;96932;373.03;4696;-2056;17088
28.50;96934;372.17;2544;5164;15888
28.50;96941;370.70;3020;2744;13596
28.50;96951;370.27;1544;3044;13636
28.50;96971;369.41;-104;2900;11736
28.50;96986;367.51;2264;-776;14816
28.50;96986;367.85;2244;-3144;16968
28.50;97001;366.39;1572;3356;16036
28.50;97009;365.44;3320;3964;13624
28.50;97023;364.06;5704;3100;14724
28.50;97052;362.34;776;1064;21708
28.50;97065;360.53;2268;1460;16516
28.50;97086;358.54;992;-740;18200
28.50;97099;358.11;4272;-1320;15916
28.50;97121;356.82;4308;-660;10688
28.50;97118;356.30;5324;1384;15348
28.50;97141;354.92;5500;3096;14936
28.50;97143;353.72;3840;956;17292
28.50;97154;352.86;6880;880;15668
28.50;97171;351.57;7704;716;15104
28.50;97175;351.31;7160;964;15272
28.50;97181;350.79;5964;-100;14968
28.50;97172;351.22;3932;-76;14636
28.50;97175;351.48;4048;4;15140
28.50;97171;350.70;4124;-48;15000
28.50;97176;351.31;4180;28;15064
28.50;97181;351.31;1820;72;15572
28.50;97177;350.70;5876;-20;15048
28.50;97178;350.79;5600;388;15140
28.50;97178;351.31;2048;384;15284
28.50;97170;351.31;-1708;-1088;14140
28.50;97183;350.96;84;-1492;14892
28.50;97181;350.96;-440;-1608;13532
28.60;97192;350.62;1896;-2012;17704
28.50;97186;350.01;3100;-64;14084
28.50;97194;349.32;952;-824;16852
28.60;97209;349.07;472;1132;17416
28.60;97206;348.46;740;764;15636
28.60;97223;347.52;-1216;1136;18696
28.50;97223;347.35;1372;1508;15044
28.50;97229;347.00;480;1176;16444
28.50;97228;346.40;72;-956;15140
28.60;97244;345.62;1264;124;16260
28.60;97246;345.11;1520;616;14636
28.60;97247;344.59;1964;-1444;14512
28.60;97255;345.11;648;-348;16560
28.60;97254;344.59;284;-724;16196
28.60;97247;344.68;468;296;16556
28.60;97242;344.68;1036;-536;17712
28.60;97257;344.76;2140;4068;14036
28.60;97253;344.68;4160;3492;14760
28.60;97248;345.88;3024;-1064;13404
28.60;97247;345.45;2656;-7728;15868
28.60;97243;345.02;976;-5704;19288
28.60;97235;345.88;-2248;3604;18908
28.60;97238;347.43;-4112;7220;29072
28.60;97219;347.69;-1616;1996;13436
28.60;97203;348.46;-2976;-988;19676
28.60;97203;349.07;-3556;-544;16596
28.60;97199;350.01;1280;-1552;16828
28.60;97189;350.53;-252;-1056;13752
28.60;97177;351.65;-528;-1892;17108
28.60;97168;352.43;84;-104;15352
28.60;97165;352.77;1068;524;14176
28.60;97148;353.72;840;-556;16564
28.60;97145;353.89;2996;-480;13928
28.60;97143;354.49;700;1120;15372
28.60;97125;355.70;-2712;-1284;12392
28.60;97136;355.53;1416;600;13148
28.60;97131;355.10;4604;4768;17400
28.60;97128;355.18;-832;5708;13676
28.60;97131;355.35;2908;4556;12568
28.60;97136;354.92;1992;-624;15680
28.60;97145;354.23;3212;-5824;14012
28.60;97144;353.20;4408;-4172;16108
28.60;97165;352.43;1148;-968;14588
28.60;97162;352.08;412;-816;16496
28.60;97176;351.74;2060;-1228;15496
28.60;97183;351.13;1852;176;16864
28.60;97184;350.10;1736;500;15008
28.60;97195;349.76;3580;-3128;15724
28.60;97209;348.64;3776;1740;16464
28.60;97213;347.86;5420;1428;15672
28.60;97220;346.83;3520;1724;13876
28.60;97231;346.83;5912;2248;15112
28.60;97230;346.48;2808;4484;15048
28.60;97235;346.57;1972;3648;17240
28.60;97226;346.91;1636;-2568;15168
28.60;97236;346.74;1920;-5372;14012
28.70;97237;345.37;2308;-5684;13720
28.70;97246;345.71;2872;-5608;13968
28.70;97245;345.54;2576;-5612;14012
28.70;97230;345.45;2324;-3884;17088
28.70;97235;346.05;1060;116;15152
28.70;97230;345.62;-188;1616;13984
28.70;97241;345.97;564;644;14576
28.70;97229;345.79;-20;332;15244
28.70;97234;346.23;444;-2228;19436
28.70;97229;346.48;-908;-1012;16616
28.70;97228;347.26;1892;-3884;16920
28.70;97225;347.26;1924;-2596;15748
28.70;97214;347.69;1372;-1620;16104
28.70;97214;348.03;572;-192;16992
28.70;97183;350.44;2444;-1780;16576
28.70;97182;350.88;1980;-2856;14484
28.70;97181;351.31;2120;-3004;15996
28.70;97167;351.91;-256;-5776;17192
28.70;97165;351.74;2088;-3428;17612
28.70;97172;352.34;744;688;15708
28.70;97168;352.51;328;1556;12168
28.70;97154;353.20;1360;876;13832
28.70;97155;353.54;748;2252;14652
28.70;97153;353.37;276;656;13908
28.70;97155;353.03;436;-204;16412
28.70;97148;353.54;-468;-3232;14184
28.70;97140;354.66;-1700;-1144;16112
28.70;97137;355.18;-632;1852;15620
28.70;97120;356.04;96;4092;13064
28.70;97121;356.39;224;3728;14996
28.70;97120;356.56;-1756;2256;15720
28.70;97123;357.08;276;-1068;15396
28.70;97107;356.39;776;-76;14364
28.70;97120;356.04;1408;-1820;15524
28.70;97119;356.56;2012;-188;14720
28.70;97118;355.87;1688;-568;17364
28.70;97124;355.87;2372;-720;14540
28.70;97120;356.22;1452;-364;15460
28.70;97127;355.70;2432;-1532;17460
28.70;97131;355.01;2340;-836;15024
28.70;97137;354.49;2212;-528;14816
28.70;97133;354.84;2056;-556;15864
28.70;97125;355.44;1552;-948;15264
28.70;97128;355.87;-124;200;16376
28.70;97125;355.70;1224;-52;15524
28.70;97127;355.44;2164;-380;15492
28.70;97121;355.53;4168;-516;15008
28.70;97124;355.44;1152;-464;15280
28.70;97125;356.04;256;-320;15956
28.70;97125;355.35;548;-464;14800
28.70;97122;355.44;-1656;-148;15740
28.70;97124;355.87;-40;-756;15676
28.70;97107;356.91;-124;-380;16124
28.70;97119;356.65;60;-420;15212
28.70;97113;356.91;600;-1200;16392
28.70;97113;356.73;232;-1540;16928
28.70;97104;356.82;-336;-644;16264
28.70;97107;357.25;1652;-1248;15292
28.70;97097;357.16;512;1172;15772
28.70;97101;357.68;768;1936;14816
28.70;97103;357.59;1912;2524;15792
28.70;97114;356.91;1884;60;16704
28.70;97119;356.39;1772;-2440;14900
28.70;97129;354.92;1976;-3864;15972
28.80;97130;354.84;1976;-4908;15424
28.80;97136;354.66;1256;-636;16604
28.80;97147;354.49;2808;1756;15248
28.70;97139;354.66;2124;4364;15508
28.80;97156;353.03;2288;4896;15364
28.70;97153;353.37;1980;3280;14920
28.70;97161;352.17;380;-2768;14768
28.80;97166;352.17;1436;-4124;15904
28.80;97176;351.22;1952;-5196;15092
28.80;97184;350.01;2672;-7000;16340
28.80;97183;350.62;2540;-4728;14000
28.80;97188;350.79;1608;-5048;15532
28.80;97196;350.79;1612;-796;15624
28.80;97204;348.98;1936;112;15276
28.80;97218;347.78;3968;984;15024
28.80;97212;349.32;4472;3928;15196
28.80;97219;347.86;3872;6752;15608
28.80;97237;345.97;2300;1644;15568
28.80;97242;345.97;2072;796;14132
28.80;97259;344.76;3276;-232;14236
28.80;97258;344.42;1404;-356;16904
28.80;97263;343.04;1120;-1256;15284
28.80;97270;343.04;756;-1196;14136
28.80;97266;342.53;2060;-3160;14476
28.80;97274;342.78;1756;-3548;14568
28.80;97276;342.35;2828;-5316;15000
28.80;97293;340.38;2408;-4140;15264
28.80;97297;341.23;2972;-4700;14520
28.80;97286;341.58;2272;-3104;15660
28.80;97304;340.38;980;84;15924
28.80;97308;339.86;2708;-452;17392
